contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration,T,midPrice,S,r,moneyness
AMZN251128C00215000,2025-11-26 20:02:46+00:00,215.0,14.35,14.5,14.7,-0.5999994,-4.0133743,105.0,1143,0.4804690706130641,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,14.6,229.57000732421875,0.03752999782562256,1.067767475926599
AMZN251128C00220000,2025-11-26 20:15:38+00:00,220.0,9.6,9.55,9.7,-0.5,-4.950495,731.0,6155,0.39362474149595206,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,9.625,229.57000732421875,0.03752999782562256,1.0435000332919033
AMZN251128C00222500,2025-11-26 20:17:34+00:00,222.5,7.2,7.1,7.25,-0.5800004,-7.4454474,1006.0,8405,0.3578218054686613,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,7.175,229.57000732421875,0.03752999782562256,1.0317753138167134
AMZN251128C00225000,2025-11-26 20:17:42+00:00,225.0,4.76,4.65,4.8,-0.6999998,-12.82051,4193.0,12335,0.28214971093785096,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,4.725,229.57000732421875,0.03752999782562256,1.0203111436631944
AMZN251128C00227500,2025-11-26 20:16:38+00:00,227.5,2.76,2.68,2.73,-0.75,-21.367521,3421.0,7724,0.297467791090949,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,2.705,229.57000732421875,0.03752999782562256,1.0090989332932692
AMZN251128C00230000,2025-11-26 20:17:48+00:00,230.0,1.17,1.16,1.2,-0.89,-43.203884,30380.0,15698,0.28629063964197937,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,1.18,229.57000732421875,0.03752999782562256,0.9981304666270381
AMZN251128C00232500,2025-11-26 20:17:52+00:00,232.5,0.36,0.35,0.36,-0.68999994,-65.71428,23607.0,13133,0.27644774633729075,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.355,229.57000732421875,0.03752999782562256,0.9873978809643817
AMZN251128C00235000,2025-11-26 20:17:49+00:00,235.0,0.09,0.09,0.1,-0.35999998,-80.0,28359.0,19290,0.2895172208413062,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.095,229.57000732421875,0.03752999782562256,0.9768936481881649
AMZN251128C00237500,2025-11-26 20:18:22+00:00,237.5,0.05,0.04,0.05,-0.13000001,-72.22222,8514.0,7667,0.33919346710366144,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.045,229.57000732421875,0.03752999782562256,0.9666105571546053
AMZN251128C00240000,2025-11-26 20:17:38+00:00,240.0,0.02,0.02,0.03,-0.06,-75.0,5954.0,15260,0.3891698224355851,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.025,229.57000732421875,0.03752999782562256,0.9565416971842448
AMZN251128C00242500,2025-11-26 20:12:34+00:00,242.5,0.01,0.0,0.01,-0.02,-66.66667,2290.0,5654,0.38647247233302423,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.005,229.57000732421875,0.03752999782562256,0.9466804425740979
AMZN251128C00245000,2025-11-26 20:09:59+00:00,245.0,0.01,0.0,0.01,-0.01,-50.0,835.0,5117,0.4508883857150664,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.005,229.57000732421875,0.03752999782562256,0.9370204380580357
AMZN251128P00215000,2025-11-26 20:18:19+00:00,215.0,0.04,0.03,0.04,-0.04,-50.0,1117.0,4710,0.576437353034609,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.035,229.57000732421875,0.03752999782562256,1.067767475926599
AMZN251128P00217500,2025-11-26 20:07:23+00:00,217.5,0.04,0.04,0.05,-0.07,-63.636364,619.0,4927,0.5064671544974142,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.045,229.57000732421875,0.03752999782562256,1.0554942865481323
AMZN251128P00220000,2025-11-26 20:06:04+00:00,220.0,0.06,0.05,0.06,-0.13,-68.42105,2651.0,7142,0.42814529618173813,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.055,229.57000732421875,0.03752999782562256,1.0435000332919033
AMZN251128P00222500,2025-11-26 20:14:44+00:00,222.5,0.08,0.07,0.08,-0.26,-76.4706,1788.0,3553,0.3515273554376781,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.07500000000000001,229.57000732421875,0.03752999782562256,1.0317753138167134
AMZN251128P00225000,2025-11-26 20:14:44+00:00,225.0,0.2,0.17,0.18,-0.46000004,-69.696976,6853.0,5701,0.3038250860831658,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.175,229.57000732421875,0.03752999782562256,1.0203111436631944
AMZN251128P00227500,2025-11-26 20:17:42+00:00,227.5,0.6,0.59,0.6,-0.65,-52.845528,10247.0,3724,0.29332103637055024,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.595,229.57000732421875,0.03752999782562256,1.0090989332932692
AMZN251128P00230000,2025-11-26 20:16:52+00:00,230.0,1.58,1.59,1.63,-0.66999996,-29.777775,14743.0,4278,0.291254825885086,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,1.6099999999999999,229.57000732421875,0.03752999782562256,0.9981304666270381
AMZN251128P00232500,2025-11-26 20:17:32+00:00,232.5,3.24,3.2,3.3,-0.52,-13.471503,1487.0,1490,0.2730780866893732,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,3.25,229.57000732421875,0.03752999782562256,0.9873978809643817
AMZN251128P00235000,2025-11-26 20:16:34+00:00,235.0,5.5,5.45,5.8,-0.059999943,-1.0791357,724.0,2046,0.3559138215165413,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,5.625,229.57000732421875,0.03752999782562256,0.9768936481881649
AMZN251128P00237500,2025-11-26 20:10:17+00:00,237.5,8.09,8.0,8.1,0.24000025,3.057328,307.0,551,0.42478462910939896,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,8.05,229.57000732421875,0.03752999782562256,0.9666105571546053
AMZN251128P00240000,2025-11-26 19:15:06+00:00,240.0,10.27,10.45,10.6,-0.069999695,-0.6769796,27.0,132,0.5047628147830246,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,10.524999999999999,229.57000732421875,0.03752999782562256,0.9565416971842448
AMZN251128P00242500,2025-11-26 17:42:50+00:00,242.5,11.92,12.1,13.9,-0.97999954,-7.5968957,13.0,5,0.5727380373131575,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,13.0,229.57000732421875,0.03752999782562256,0.9466804425740979
AMZN251128P00245000,2025-11-26 18:19:09+00:00,245.0,14.99,15.45,15.6,-0.5100002,-3.290324,7.0,22,0.6873543269942922,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,15.524999999999999,229.57000732421875,0.03752999782562256,0.9370204380580357
AMZN251205C00187500,2025-11-26 14:59:59+00:00,187.5,42.6,42.2,42.35,4.8799973,12.937426,1.0,11,0.576422122290339,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,42.275000000000006,229.57000732421875,0.03752999782562256,1.2243733723958334
AMZN251205C00190000,2025-11-26 19:55:42+00:00,190.0,39.61,39.7,39.85,-0.13999939,-0.35219973,7.0,196,0.540145743759512,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,39.775000000000006,229.57000732421875,0.03752999782562256,1.2082631964432566
AMZN251205C00192500,2025-11-26 16:06:16+00:00,192.5,38.9,37.2,37.4,6.1100006,18.633732,1.0,10,0.5329581926089195,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,37.3,229.57000732421875,0.03752999782562256,1.1925714666193181
AMZN251205C00200000,2025-11-26 19:38:59+00:00,200.0,30.04,29.75,29.95,-0.19999886,-0.6613719,71.0,487,0.46215580764417297,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,29.85,229.57000732421875,0.03752999782562256,1.1478500366210938
AMZN251205C00202500,2025-11-25 19:55:21+00:00,202.5,27.6,27.3,27.5,0.0,0.0,2.0,9,0.45143205402169284,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,27.4,229.57000732421875,0.03752999782562256,1.1336790485146604
AMZN251205C00205000,2025-11-26 19:16:18+00:00,205.0,25.06,24.85,25.05,-0.6400013,-2.4902773,6.0,770,0.43382191328731506,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,24.950000000000003,229.57000732421875,0.03752999782562256,1.1198536942644817
AMZN251205C00207500,2025-11-26 16:18:29+00:00,207.5,24.02,22.4,22.6,1.2700005,5.5824194,2.0,51,0.41141373167614137,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,22.5,229.57000732421875,0.03752999782562256,1.1063614810805722
AMZN251205C00210000,2025-11-26 20:07:16+00:00,210.0,19.69,20.0,20.2,-0.3199997,-1.5991988,73.0,790,0.39810909389023175,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,20.1,229.57000732421875,0.03752999782562256,1.0931905110677083
AMZN251205C00212500,2025-11-26 20:13:48+00:00,212.5,17.65,17.6,17.8,-0.39999962,-2.2160645,39.0,59,0.37754023830215294,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,17.700000000000003,229.57000732421875,0.03752999782562256,1.0803294462316178
AMZN251205C00215000,2025-11-26 20:15:36+00:00,215.0,15.3,15.3,15.45,-0.47999954,-3.0418222,2664.0,2945,0.3639826522282028,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,15.375,229.57000732421875,0.03752999782562256,1.067767475926599
AMZN251205C00217500,2025-11-26 20:09:48+00:00,217.5,12.99,13.0,13.2,-0.57000065,-4.2035446,44.0,476,0.3485734653467285,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,13.1,229.57000732421875,0.03752999782562256,1.0554942865481323
AMZN251205C00220000,2025-11-26 20:10:13+00:00,220.0,10.87,10.85,11.05,-0.6300001,-5.478262,345.0,2025,0.3381386151466103,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,10.95,229.57000732421875,0.03752999782562256,1.0435000332919033
AMZN251205C00222500,2025-11-26 19:52:54+00:00,222.5,8.89,8.95,9.05,-0.72999954,-7.588353,256.0,1330,0.33487919270602273,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,9.0,229.57000732421875,0.03752999782562256,1.0317753138167134
AMZN251205C00225000,2025-11-26 20:16:02+00:00,225.0,7.14,7.1,7.15,-0.55999994,-7.2727265,1389.0,5565,0.3234282240672641,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,7.125,229.57000732421875,0.03752999782562256,1.0203111436631944
AMZN251205C00227500,2025-11-26 20:15:11+00:00,227.5,5.53,5.45,5.55,-0.52,-8.595041,2702.0,4261,0.3170313608440892,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,5.5,229.57000732421875,0.03752999782562256,1.0090989332932692
AMZN251205C00230000,2025-11-26 20:17:42+00:00,230.0,4.15,4.1,4.15,-0.4499998,-9.782605,10689.0,16722,0.3128950035217797,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,4.125,229.57000732421875,0.03752999782562256,0.9981304666270381
AMZN251205C00232500,2025-11-26 20:13:21+00:00,232.5,3.02,3.05,3.1,-0.43000007,-12.46377,6487.0,6513,0.3157668978201949,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,3.075,229.57000732421875,0.03752999782562256,0.9873978809643817
AMZN251205C00235000,2025-11-26 20:18:01+00:00,235.0,2.17,2.15,2.17,-0.32999992,-13.199997,21533.0,11547,0.31200895957518715,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,2.16,229.57000732421875,0.03752999782562256,0.9768936481881649
AMZN251205C00237500,2025-11-26 20:16:03+00:00,237.5,1.53,1.51,1.53,-0.21000004,-12.068968,5946.0,5789,0.31431434688766313,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,1.52,229.57000732421875,0.03752999782562256,0.9666105571546053
AMZN251205C00240000,2025-11-26 20:16:55+00:00,240.0,1.04,1.03,1.05,-0.16000009,-13.333339,11080.0,7458,0.3161369676007332,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,1.04,229.57000732421875,0.03752999782562256,0.9565416971842448
AMZN251205C00242500,2025-11-26 20:14:45+00:00,242.5,0.71,0.7,0.72,-0.120000005,-14.457831,8248.0,2721,0.32014390786479074,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.71,229.57000732421875,0.03752999782562256,0.9466804425740979
AMZN251205C00245000,2025-11-26 20:12:33+00:00,245.0,0.49,0.49,0.5,-0.089999974,-15.517237,8046.0,6223,0.32727160953198825,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.495,229.57000732421875,0.03752999782562256,0.9370204380580357
AMZN251205C00247500,2025-11-26 20:17:25+00:00,247.5,0.34,0.34,0.35,-0.060000002,-15.0,7402.0,4252,0.33468061634835483,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.345,229.57000732421875,0.03752999782562256,0.9275555851483586
AMZN251205C00250000,2025-11-26 20:12:23+00:00,250.0,0.24,0.24,0.25,-0.040000007,-14.285716,11187.0,6262,0.3434585308329467,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.245,229.57000732421875,0.03752999782562256,0.918280029296875
AMZN251205C00252500,2025-11-26 20:18:05+00:00,252.5,0.16,0.16,0.17,-0.030000001,-15.789474,2507.0,818,0.3486637633568521,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.165,229.57000732421875,0.03752999782562256,0.9091881478186881
AMZN251205C00255000,2025-11-26 20:07:14+00:00,255.0,0.11,0.11,0.13,-0.019999996,-15.384612,1120.0,3488,0.35851779930450023,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.12,229.57000732421875,0.03752999782562256,0.9002745385263481
AMZN251205C00257500,2025-11-26 20:14:55+00:00,257.5,0.09,0.08,0.09,-0.009999998,-9.090907,104.0,523,0.3664519495472578,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.08499999999999999,229.57000732421875,0.03752999782562256,0.8915340090260923
AMZN251205C00260000,2025-11-26 19:57:22+00:00,260.0,0.07,0.06,0.07,0.010000002,16.66667,1046.0,4142,0.37802264463440377,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.065,229.57000732421875,0.03752999782562256,0.8829615666316106
AMZN251205C00262500,2025-11-26 19:17:29+00:00,262.5,0.06,0.04,0.05,0.009999998,19.999994,66.0,176,0.3840696281619349,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.045,229.57000732421875,0.03752999782562256,0.8745524088541666
AMZN251205C00265000,2025-11-26 19:11:14+00:00,265.0,0.05,0.03,0.04,0.010000002,25.000004,258.0,2675,0.39538833136845103,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.035,229.57000732421875,0.03752999782562256,0.8663019144310141
AMZN251205C00270000,2025-11-26 20:07:56+00:00,270.0,0.03,0.03,0.04,0.0,0.0,73.0,3742,0.4402894780944662,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.035,229.57000732421875,0.03752999782562256,0.8502592863859953
AMZN251205C00275000,2025-11-26 20:06:24+00:00,275.0,0.01,0.01,0.02,0.0,0.0,1357.0,3437,0.4422059705624575,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.015,229.57000732421875,0.03752999782562256,0.8348000266335227
AMZN251205C00280000,2025-11-26 16:30:13+00:00,280.0,0.01,0.0,0.01,0.0,0.0,3.0,1181,0.4361458585206537,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.005,229.57000732421875,0.03752999782562256,0.8198928833007812
AMZN251205P00187500,2025-11-26 16:42:09+00:00,187.5,0.03,0.03,0.04,-0.049999997,-62.499996,31.0,377,0.551420062513607,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.035,229.57000732421875,0.03752999782562256,1.2243733723958334
AMZN251205P00190000,2025-11-26 19:20:30+00:00,190.0,0.04,0.04,0.05,-0.04,-50.0,1793.0,865,0.5348557074305217,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.045,229.57000732421875,0.03752999782562256,1.2082631964432566
AMZN251205P00192500,2025-11-26 15:06:06+00:00,192.5,0.07,0.04,0.05,-0.020000003,-22.222223,1.0,54,0.5020104573160086,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.045,229.57000732421875,0.03752999782562256,1.1925714666193181
AMZN251205P00195000,2025-11-26 20:11:59+00:00,195.0,0.06,0.05,0.06,-0.06,-50.0,222.0,1265,0.48149970041237455,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.055,229.57000732421875,0.03752999782562256,1.1772820888421474
AMZN251205P00197500,2025-11-26 17:21:40+00:00,197.5,0.06,0.07,0.08,-0.08,-57.142857,118.0,321,0.46759488527936555,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.07500000000000001,229.57000732421875,0.03752999782562256,1.1623797839200949
AMZN251205P00200000,2025-11-26 20:11:59+00:00,200.0,0.09,0.09,0.1,-0.06999999,-43.749996,345.0,2680,0.44866904517297207,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.095,229.57000732421875,0.03752999782562256,1.1478500366210938
AMZN251205P00202500,2025-11-26 19:10:47+00:00,202.5,0.11,0.11,0.13,-0.11,-50.0,170.0,657,0.4291019024164495,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.12,229.57000732421875,0.03752999782562256,1.1336790485146604
AMZN251205P00205000,2025-11-26 20:07:19+00:00,205.0,0.16,0.15,0.16,-0.099999994,-39.999996,383.0,1272,0.4105483556964895,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.155,229.57000732421875,0.03752999782562256,1.1198536942644817
AMZN251205P00207500,2025-11-26 20:06:58+00:00,207.5,0.22,0.2,0.22,-0.110000014,-33.33334,305.0,973,0.39495191740085006,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.21000000000000002,229.57000732421875,0.03752999782562256,1.1063614810805722
AMZN251205P00210000,2025-11-26 20:17:52+00:00,210.0,0.28,0.28,0.29,-0.16999999,-38.63636,696.0,1846,0.379176660210708,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.28500000000000003,229.57000732421875,0.03752999782562256,1.0931905110677083
AMZN251205P00212500,2025-11-26 20:06:33+00:00,212.5,0.43,0.4,0.41,-0.15999997,-27.118639,447.0,506,0.36701768759578424,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.405,229.57000732421875,0.03752999782562256,1.0803294462316178
AMZN251205P00215000,2025-11-26 20:17:50+00:00,215.0,0.57,0.56,0.58,-0.24000001,-29.62963,3810.0,8750,0.3543005594353333,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.5700000000000001,229.57000732421875,0.03752999782562256,1.067767475926599
AMZN251205P00217500,2025-11-26 20:18:03+00:00,217.5,0.81,0.81,0.82,-0.28000003,-25.688076,1161.0,1348,0.34371365731627807,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.815,229.57000732421875,0.03752999782562256,1.0554942865481323
AMZN251205P00220000,2025-11-26 20:16:05+00:00,220.0,1.17,1.16,1.18,-0.30000007,-20.408169,2465.0,2691,0.33493211341920237,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,1.17,229.57000732421875,0.03752999782562256,1.0435000332919033
AMZN251205P00222500,2025-11-26 20:15:24+00:00,222.5,1.67,1.66,1.68,-0.33000004,-16.500002,1561.0,1550,0.32772336616071307,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,1.67,229.57000732421875,0.03752999782562256,1.0317753138167134
AMZN251205P00225000,2025-11-26 20:17:18+00:00,225.0,2.33,2.34,2.37,-0.37000012,-13.703708,2523.0,2512,0.3221983056020412,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,2.355,229.57000732421875,0.03752999782562256,1.0203111436631944
AMZN251205P00227500,2025-11-26 20:13:38+00:00,227.5,3.25,3.2,3.25,-0.31999993,-8.963583,1833.0,1314,0.31567187125867213,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,3.225,229.57000732421875,0.03752999782562256,1.0090989332932692
AMZN251205P00230000,2025-11-26 20:15:20+00:00,230.0,4.38,4.3,4.4,-0.26999998,-5.8064513,3846.0,3290,0.3117239516225937,True,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,4.35,229.57000732421875,0.03752999782562256,0.9981304666270381
AMZN251205P00232500,2025-11-26 20:16:34+00:00,232.5,5.75,5.7,5.85,-0.19999981,-3.3613415,1395.0,411,0.31282580017005585,True,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,5.775,229.57000732421875,0.03752999782562256,0.9873978809643817
AMZN251205P00235000,2025-11-26 20:15:17+00:00,235.0,7.4,7.35,7.5,-0.049999714,-0.6711371,412.0,2005,0.31432712349958236,True,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,7.425,229.57000732421875,0.03752999782562256,0.9768936481881649
AMZN251205P00237500,2025-11-26 20:12:22+00:00,237.5,9.35,9.2,9.35,-0.15999985,-1.6824379,197.0,174,0.3162084740710022,True,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,9.274999999999999,229.57000732421875,0.03752999782562256,0.9666105571546053
